"Reino","Filo","Classe","Ordem","Familia","Genero","Nome_Cientifico","Nome_Cientifico_Anterior","Autor","Nome_Comum","Grupo","Mes_Ano_Avaliacao","Categoria","Possivemente_Extinta","Criterio","Justificativa","Endemica_Brasil","Consta_em_Lista_Nacional_Oficial","Estado","Regiao","Bioma","Bacia_Hidrografica","Unidade_de_Conservacao_Federal","Unidade_de_Conservacao_Estadual","RPPN","Migratoria","Tendencia_Populacional","Ameaca","Uso","Acao_Conservacao","Plano_de_Acao","Listas_e_Convencoes","Altitude_min_max_","Barimetria_min_max_"
"Animalia","Chordata","Amphibia","Anura","Brachycephalidae","Brachycephalus","Brachycephalus brunneus","Brachycephalus brunneus","Ribeiro, Alves, Haddad & dos Reis, 2005","Pingo-de-chocolate","Anfíbios","09/2018","Menos Preocupante","","","Brachycephalus brunneus é endêmica do Brasil, conhecida para aa localidade-tipo, no Pico Caratuva, município de Campina Grande do Sul, e municípios vizinhos, no estado do Paraná. A espécie habita camadas espessas de serapilheira de floresta ombrófila densa altamontana primária do bioma Mata Atlântica, em altitudes entre 1.000 e 1.600 metros. Embora tenha distribuição bastante restrita, trata-se de espécie abundante, que ocorre em área preservada, não havendo ameaças evidentes que possam colocá-la em risco de extinção. Por isso, Brachycephalus brunneus foi avaliada como Menos Preocupante (LC).","Sim","Não","Paraná","|Sul|","Mata Atlântica","Sub-bacia Litoral RJ SP Sub-bacia Litoral SP PR SC","","","","","Desconhecida","","","Plano de Ação Nacional (PAN), Proteção de recursos/habitat","Plano de Ação Nacional para a Conservação de Répteis e Anfíbios Ameaçados da Região Sul do Brasil","","",""
"Animalia","Chordata","Amphibia","Anura","Brachycephalidae","Brachycephalus","Brachycephalus coloratus","","Ribeiro, Blackburn, Stanley, Pie & Bornschein, 2017","","Anfíbios","09/2018","Dados Insuficientes","","","Brachycephalus coloratus é endêmica do Brasil, do bioma Mata Atlântica, conhecida apenas da região da localidade-tipo, dentro do condomínio residencial Estância Hidroclimática Recreio da Serra, na Serra da Baitaca, município de Piraquara, estado do Paraná. O condomínio faz divisa com o Parque Estadual Serra da Baitaca, sendo possível a ocorrência da espécie nessa unidade de conservação. No entanto, sua distribuição não está bem estudada e a localidade-tipo está sujeita a edificações a qualquer momento, além de haver previsão de construção de rodovia nas redondezas do condomínio que pode afetar o hábitat da espécie. Faltam informações sobre distribuição, população e impacto das ameaças que possibilitem uma avaliação adequada do risco de extinção da espécie. Por essas razões, Brachycephalus coloratus foi avaliada com Dados Insuficientes (DD).","Sim","Não","Paraná","|Sul|","Mata Atlântica","Sub-bacia Iguaçu","","","","","Desconhecida","11 - Mudanças e extremos climáticos|11.1 - Mudança/alteração de habitat 1 - Desenvolvimento residencial e comercial 4 - Transportes e serviços de transmissão|4.1 - Estradas e ferrovias","","Proteção de recursos/habitat","","","",""
"Animalia","Chordata","Amphibia","Anura","Brachycephalidae","Brachycephalus","Brachycephalus quiririensis","","Pie & Ribeiro, 2015","","Anfíbios","09/2018","Em Perigo","","B1ab(i,ii,iii)","Brachycephalus quiririensis é endêmica do Brasil, do bioma Mata Atlântica, conhecida somente da Serra do Quiriri, no município de Garuva, estado de Santa Catarina. Trata-se de espécie de pequeno porte, com baixa capacidade de dispersão e de hábitat específico, encontrada somente em manchas de florestas nebulares em área de campos de altitude acima de 1.200 metros. A espécie não foi registrada em áreas adjacentes à Serra do Quiriri e sua extensão de ocorrência foi estimada como sendo equivalente à área do topo da Serra, 27,5 km2. Possui apenas duas localizações, sendo a expansão da extração do caulim e de plantação de Pinus as principais ameaças, que provocam declínio contínuo da extensão de ocorrência, área de ocupação e da qualidade do hábitat. Por essas razões, Brachycephalus quiririensis foi avaliada como Em Perigo (EN) pelo critério B1ab(i,ii,iii).","Sim","Sim","Santa Catarina","|Sul|","Mata Atlântica","Sub-bacia Iguaçu Sub-bacia Litoral SP PR SC","","","","Não","Desconhecida","2 - Agropecuária e Aquacultura|2.2 - Silvicultura|2.2.2 - Plantações agro-industriais 2 - Agropecuária e Aquacultura|2.3 - Pecuária|2.3.3 - Pecuária agro-industrial 3 - Produção energética e mineração|3.2 - Mineração|3.2.3 - Extração de minérios - subsolo 7 - Modificações nos sistemas naturais|7.1 - Incêndios e supressão de incêndios|7.1.1 - Aumento da frequência/intensidade de incêndios","","Plano de Ação Nacional (PAN), Proteção de recursos/habitat, Restauração de habitat e processos naturais","","Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2022","",""
"Animalia","Chordata","Amphibia","Anura","Brachycephalidae","Brachycephalus","Brachycephalus ferruginus","Brachycephalus ferruginus","Alves, Ribeiro, Haddad & Reis, 2006","Sapinho-ferrugem","Anfíbios","09/2018","Menos Preocupante","","","Brachycephalus ferruginus é endêmica do Brasil, do bioma Mata Atlântica, conhecida apenas da localidade-tipo, o Pico Marumbi, município de Morretes, estado do Paraná. Trata-se de espécie abundante, que ocorre em uma unidade de conservação de proteção integral em bom estado de preservação (Parque Estadual Pico do Marumbi), não havendo evidência de ameaças que possam colocá-la em risco de extinção. Por isso, Brachycephalus ferruginus foi avaliada como Menos Preocupante (LC).","Sim","Não","Paraná","|Sul|","Mata Atlântica","Sub-bacia Litoral SP PR SC","","","","","Desconhecida","11 - Mudanças e extremos climáticos|11.1 - Mudança/alteração de habitat","","Plano de Ação Nacional (PAN), Proteção de recursos/habitat","Plano de Ação Nacional para a Conservação de Répteis e Anfíbios Ameaçados da Região Sul do Brasil","","",""
"Animalia","Chordata","Amphibia","Anura","Brachycephalidae","Brachycephalus","Brachycephalus olivaceus","","Bornschein, Morato, Firkowski, Ribeiro & Pie, 2015","","Anfíbios","09/2018","Menos Preocupante","","","Brachycephalus olivaceus é endêmica do Brasil, do bioma Mata Atlântica, é conhecida para o estado de Santa Catarina, com registros nos municípios de Joinville e Corupá. Sua extensão de ocorrência foi calculada em 149 km2 , todavia, é possível que sua distribuição seja maior que a atualmente conhecida, pois há ambientes favoráveis ainda não explorados. A espécie ocupa um ambiente específico, floresta ombrófila densa montana entre 690 e 985 metros de altitude. Ao longo da distribuição da espécie há ameaças pontuais ao ambiente da espécie, principalmente em em decorrência de atividade agropastoril. No entanto, ainda há florestas bem preservadas, e as ameaças não colocam a espécie em risco de extinção em curto prazo. Por isso, Brachycephalus olivaceus foi avaliada como Menos Preocupante (LC).","Sim","Não","Santa Catarina","|Sul|","Mata Atlântica","Sub-bacia Litoral SP PR SC","","ÁREA DE PROTEçãO AMBIENTAL SERRA DONA FRANCISCA","","","Desconhecida","2 - Agropecuária e Aquacultura|2.2 - Silvicultura|2.2.3 - Plantações em escala desconhecida 2 - Agropecuária e Aquacultura|2.3 - Pecuária|2.3.4 - Pecuária em escala desconhecida 6 - Distúrbios humanos 7 - Modificações nos sistemas naturais","","Proteção de recursos/habitat, Restauração de habitat e processos naturais","","","",""
"Animalia","Chordata","Amphibia","Anura","Hylidae","Scinax","Scinax ruberoculatus","","Ferrão, Fraga, Moravec, Kaefer & Lima, 2018","","Anfíbios","09/2018","Menos Preocupante","","","Scinax ruberoculatus possui distribuição para o Brasil, Suriname e Guiana Francesa. No Brasil, ocorre no interflúvio entre os rios Madeira e Purus no estado do Amazonas, havendo registro também no Amapá. A espécie está associada a remanescentes de floresta ombrófila de terras baixas primária ou secundárias em estágio avançado de sucessão, sendo encontrada inclusive em ambientes de borda. Possui ampla distribuição e não há ameaças evidentes que possam colocá-la em risco de extinção. Por essas razões, Scinax ruberoculatus foi avaliada como Menos Preocupante (LC).","Não","Não","Amapá, Amazonas","|Norte|","Amazônia","Sub-bacia Amapá Litoral Sub-bacia Madeira Sub-bacia Purus","PARNA Montanhas do Tumucumaque, PARNA Nascentes do Lago Jari, RESEX Lago do Capanã Grande","RESERVA DE DESENVOLVIMENTO SUSTENTÁVEL IGAPÓ-AÇU","","","Desconhecida","","","","","","",""
"Animalia","Chordata","Amphibia","Anura","Phyllomedusidae","Phrynomedusa","Phrynomedusa appendiculata","Phrynomedusa appendiculata","(Lutz, 1925)","","Anfíbios","09/2018","Menos Preocupante","","","Phrynomedusa appendiculata é endêmica do Brasil, com distribuição conhecida para os estados de São Paulo e Santa Catarina. Sua extensão de ocorrência é calculada em cerca de 15.800km2. A espécie é bastante rara e não é coletada desde 1966. Houve esforço recente de busca direcionada em algumas localidades, mas a espécie não foi registrada. No entanto, é um grupo que ocorre em baixas densidades e é de detecção bastante difícil. Ao longo de sua distribuição há áreas extensas de florestas em bom estado de conservação, incluindo diversas unidades de conservação, não sendo identificadas ameaças significativas. Portanto, P. appendiculata foi avaliada como Menos Preocupante (LC).","Sim","Não","Santa Catarina, São Paulo","|Sudeste|Sul|","Mata Atlântica","Sub-bacia Litoral SP Sub-bacia Litoral SP PR SC","","","","","Desconhecida","","","Plano de Ação Nacional (PAN)","Plano de Ação Nacional para a Conservação de Répteis e Anfíbios Ameaçados da Região Sul do Brasil","","",""
"Animalia","Chordata","Amphibia","Anura","Hylidae","Phyllodytes","Phyllodytes maculosus","Phyllodytes maculosus","Cruz, Feio & Cardoso, 2007","Perereca-das-bromélias","Anfíbios","09/2018","Menos Preocupante","","","Phyllodytes maculosus é endêmica do Brasil, do bioma Mata Atlântica, conhecida para o nordeste do estado de Minas Gerais e sul do estado da Bahia, inclusive com registros em unidades de conservação. Sua extensão de ocorrência foi calculada em 22.087 km². Apesar de parte de sua distribuição estar com os ambientes fortemente fragmentados pela extração ilegal de madeira e bromélias, implantação de empreendimentos turísticos, plantio e queimadas, não há indícios de risco de extinção no futuro próximo. Por isso, Phyllodytes maculosus foi avaliada como Menos Preocupante (LC).","Sim","Não","Bahia, Minas Gerais","|Nordeste|Sudeste|","Mata Atlântica","Sub-bacia Contas Sub-bacia Itapecuru-Paraguaçu Sub-bacia Jequitinhonha Sub-bacia Litoral BA ES","PARNA do Pau Brasil, PARNA Serra das Lontras","","","","Desconhecida","1 - Desenvolvimento residencial e comercial|1.3 - Áreas de turismo e recreação 2 - Agropecuária e Aquacultura|2.1 - Culturas anuais e perenes não-madeireiras|2.1.4 - Agricultura de escala desconhecida 5 - Uso de recursos biológicos|5.2 - Coleta de plantas terrestres|5.2.4 - Motivação desconhecida 5 - Uso de recursos biológicos|5.3 - Extração florestal|5.3.5 - Motivação desconhecida 7 - Modificações nos sistemas naturais|7.1 - Incêndios e supressão de incêndios|7.1.3 - Tendência desconhecida","","Plano de Ação Nacional (PAN)","Plano de Ação Nacional para a Conservação da Herpetofauna Ameaçada da Mata Atlântica Nordestina, Plano de Ação Nacional para conservação da Herpetofauna Ameaçada da Mata Atlântica da Região Sudeste do Brasil","","",""
"Animalia","Chordata","Amphibia","Anura","Hylidae","Scinax","Scinax dolloi","Scinax dolloi","(Werner, 1903)","","Anfíbios","09/2018","Menos Preocupante","","","Scinax dolloi é endêmica do Brasil, descrita em 1903, sua localidade-tipo Vila de Maringá, município de Itatiaia, estado do Rio de Janeiro, foi elucidada em 2013. Contudo, somente em 2016, foi conhecido um registro de ocorrência para a espécie nesta mesma localidade. Este local encontra-se parcialmente alterado, pois está inserido em uma matriz composta tanto por ambientes antropizados (zona rural), quanto por remanescentes de vegetação nativa, estando próximo a três unidades de conservação de proteção integral. Embora não se tenha conhecimento sobre sua biologia, espécies congêneres relacionadas são generalistas de habitat, portante é possível que sua distribuição seja maior do que a atualmente conhecida. Desse modo, não há ameaças evidentes que possam colocar a espécie em risco de extinção. Por esses motivos, Scinax dolloi foi avaliada como Menos Preocupante (LC).","Sim","Não","Rio de Janeiro","|Sudeste|","Mata Atlântica","Sub-bacia Paraíba do Sul","APA Serra da Mantiqueira","","","","Desconhecida","","","","","","",""
"Animalia","Chordata","Amphibia","Anura","Hylidae","Sphaenorhynchus","Sphaenorhynchus mirim","Sphaenorhynchus mirim","Caramaschi, Almeida & Gasparini, 2009","Sapinho-limão","Anfíbios","09/2018","Menos Preocupante","","","Sphaenorhynchus mirim é endêmica do Brasil, do bioma Mata Atlântica sendo conhecida de poucos registros, um para a localidade-tipo, Fazenda Gemada, município de Mucurici, estado do Espírito Santo (ES) e dois no estado da Bahia (BA) (um no município de Caravelas e outro no município de Mucuri, ambos no sul do Estado). Em Mucurici (ES) e Murici (BA) a espécie foi encontrada em área bastante alterada devido a atividades agropastoris. No entanto, S. mirim aparenta ser tolerante às modificações do habitat, e, embora sua extensão de ocorrência calculada seja de 2.049km2, não há evidências de ameaças que possam colocá-la em risco de extinção. Portanto, Sphaenorhynchus mirim foi avaliada como Menos preocupante (LC).","Sim","Não","Bahia, Espírito Santo","|Nordeste|Sudeste|","Mata Atlântica","Sub-bacia Litoral BA ES","","","","","Desconhecida","2 - Agropecuária e Aquacultura|2.1 - Culturas anuais e perenes não-madeireiras|2.1.4 - Agricultura de escala desconhecida 2 - Agropecuária e Aquacultura|2.2 - Silvicultura|2.2.3 - Plantações em escala desconhecida 2 - Agropecuária e Aquacultura|2.3 - Pecuária|2.3.3 - Pecuária agro-industrial","","Plano de Ação Nacional (PAN)","Plano de Ação Nacional para a Conservação da Herpetofauna Ameaçada da Mata Atlântica Nordestina, Plano de Ação Nacional para conservação da Herpetofauna Ameaçada da Mata Atlântica da Região Sudeste do Brasil","","",""
"Animalia","Chordata","Amphibia","Anura","Hylidae","Scinax","Scinax muriciensis","Scinax muriciensis","Cruz, Nunes & Lima, 2011","","Anfíbios","09/2018","Criticamente em Perigo","Não","B1ab(iii)","Scinax muricensis é endêmica do Brasil, do bioma Mata Atlântica, registrada apenas na localidade-tipo, a Estação Ecológica (ESEC) de Murici, no município de Murici, estado de Alagoas. Sua extensão de ocorrência é menor que 100 km2, tendo em vista que a espécie só ocorre em riachos dentro da ESEC. Embora esteja presente em uma unidade de conservação de proteção integral, o fragmento é afetado pela intensa atividade agropecuária do entorno. Além disso, há extração de madeira e invasões no interior da unidade de conservação, atividades que provocam declínio da qualidade do hábitat da espécie. Considerando apenas uma localização, Scinax muricensis foi avaliada como Criticamente em Perigo (CR) pelo critério B1ab(iii).","Sim","Sim","Alagoas","|Nordeste|","Mata Atlântica","Sub-bacia Litoral AL PE PB","ESEC de Murici","ÁREA DE PROTEÇÃO AMBIENTAL DE MURICÍ","","Não","Desconhecida","1 - Desenvolvimento residencial e comercial|1.4 - Assentamentos e pequenas propriedades rurais 2 - Agropecuária e Aquacultura|2.1 - Culturas anuais e perenes não-madeireiras|2.1.4 - Agricultura de escala desconhecida 2 - Agropecuária e Aquacultura|2.3 - Pecuária|2.3.4 - Pecuária em escala desconhecida 5 - Uso de recursos biológicos|5.3 - Extração florestal|5.3.5 - Motivação desconhecida","","Implementação de áreas protegidas, Meios de subsistência, economia e outros incentivos, Normas e códigos de referência do setor privado, Plano de Ação Nacional (PAN), Políticas e regulamentações, Proteção de recursos/habitat","Plano de Ação Nacional para a Conservação da Herpetofauna Ameaçada da Mata Atlântica Nordestina, Plano de Ação Nacional para a Conservação da Herpetofauna do Nordeste - 2º ciclo","Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2022","",""
"Animalia","Chordata","Amphibia","Anura","Hylidae","Scinax","Scinax skuki","Scinax skuki","Lima, Cruz & Azevedo, 2011","","Anfíbios","09/2018","Dados Insuficientes","","","Scinax skuki é endêmica do Brasil, conhecida apenas de duas localidades na Mata Atlântica dos estados de Alagoas e Pernambuco. A distribuição da espécie, no entanto, ainda não é bem estudada, visto que S. skuki pode estar sendo confundida com S. argyreornatus na região. É possível que sofra perda de hábitat em decorrência da conversão de áreas naturais em áreas agrícolas e urbana. No entanto, não há informações suficientes sobre distribuição, população e ameaças para uma avaliação adequada do seu risco de extinção. Por essas razões, Scinax skuki foi avaliada como Dados Insuficientes (DD).","Sim","Não","Alagoas, Pernambuco","|Nordeste|","Mata Atlântica","Sub-bacia Litoral AL PE PB","","","","","Desconhecida","1 - Desenvolvimento residencial e comercial|1.1 - Expansão urbana 2 - Agropecuária e Aquacultura|2.1 - Culturas anuais e perenes não-madeireiras|2.1.3 - Agricultura agro-industrial 2 - Agropecuária e Aquacultura|2.3 - Pecuária|2.3.4 - Pecuária em escala desconhecida 3 - Produção energética e mineração|3.2 - Mineração|3.2.1 - Extração de areia 7 - Modificações nos sistemas naturais|7.1 - Incêndios e supressão de incêndios|7.1.1 - Aumento da frequência/intensidade de incêndios 9 - Poluição|9.1 - Doméstica e urbana - escoamento de água|9.1.2 - Escoamento urbano","","Meios de subsistência, economia e outros incentivos, Normas e códigos de referência do setor privado, Plano de Ação Nacional (PAN), Políticas e regulamentações, Proteção de locais/áreas, Proteção de recursos/habitat","Plano de Ação Nacional para a Conservação da Herpetofauna Ameaçada da Mata Atlântica Nordestina","","",""
"Animalia","Chordata","Amphibia","Gymnophiona","Caeciliidae","Oscaecilia","Oscaecilia hypereumeces","Oscaecilia hypereumeces","Taylor, 1968","","Anfíbios","09/2018","Dados Insuficientes","","","Oscaecilia hypereumeces é endêmica do Brasil, descrita em 1968. A descrição da espécie é baseada em um único exemplar, tendo como provável localidade-tipo \"Joinville, Santa Catarina, Brasil\". A localidade, no entanto, é duvidosa, já que das nove espécies do gênero, oito ocorrem na porção norte da América do Sul e parte da América Central, e a exceção seria Oscaecilia hypereumeces. Ainda é mencionada a existência de um segundo exemplar, com procedência desconhecida. Não há informações suficientes sobre distribuição, população ou ameaças para uma avaliação adequada do risco de extinção da espécie. Por essas razões, Oscaecilia hypereumeces foi categorizada como Dados Insuficientes (DD).","Sim","Não","Santa Catarina","|Sul|","Mata Atlântica","Sub-bacia Litoral SP PR SC","","ÁREA DE PROTEçãO AMBIENTAL SERRA DONA FRANCISCA","","","Desconhecida","12 - Outras ameaças 1 - Desenvolvimento residencial e comercial|1.2 - Áreas comerciais e industriais","","","","","",""
"Animalia","Chordata","Amphibia","Anura","Phyllomedusidae","Phasmahyla","Phasmahyla spectabilis","Phasmahyla spectabilis","Cruz, Feio & Nascimento, 2008","Perereca-das-folhagens","Anfíbios","09/2018","Quase Ameaçada","","","Phasmahyla spectabilis é endêmica do Brasil, ocorrendo no bioma Mata Atlântica do nordeste do estado de Minas Gerais e sul e extremo sul da Bahia. Sua extensão de ocorrência foi estimada em 8.169 km2. A espécie é restrita a florestas ombrófilas de áreas baixas, ambiente que sofre impactos ambientais negativos em decorrência da expansão agrícola e urbana, causando declínio contínuo de área e da qualidade do hábitat da espécie. No entanto, não há indícios de que a população esteja severamente fragmentada. Por essas razões, Phasmahyla spectabilis aproxima-se de Vulnerável (VU) pelo critério B1b(iii) e, por isso, foi avaliada como Quase Ameaçada (NT).","Sim","Não","Bahia, Minas Gerais","|Nordeste|Sudeste|","Mata Atlântica","Sub-bacia Contas Sub-bacia Jequitinhonha Sub-bacia Litoral BA ES","PARNA Alto Cariri","ÁREA DE PROTEÇÃO AMBIENTAL LAGOA ENCANTADA, PARQUE ESTADUAL ALTO DO CARIRI","","Não","Desconhecida","1 - Desenvolvimento residencial e comercial|1.1 - Expansão urbana 2 - Agropecuária e Aquacultura|2.1 - Culturas anuais e perenes não-madeireiras|2.1.4 - Agricultura de escala desconhecida","","Plano de Ação Nacional (PAN)","Plano de Ação Nacional para a Conservação da Herpetofauna Ameaçada da Mata Atlântica Nordestina, Plano de Ação Nacional para a Conservação da Herpetofauna do Nordeste - 2º ciclo, Plano de Ação Nacional para conservação da Herpetofauna Ameaçada da Mata Atlântica da Região Sudeste do Brasil","","",""
"Animalia","Chordata","Amphibia","Anura","Phyllomedusidae","Phasmahyla","Phasmahyla timbo","Phasmahyla timbo","Cruz, Napoli & Fonseca, 2008","Perereca-das-folhagens","Anfíbios","09/2018","Quase Ameaçada","","","Phasmahyla timbo é endêmica do Brasil, com ocorrência no bioma Mata Atlântica do sul da Bahia entre a Serra do Timbó (município de Amargosa) e o município de Igrapiúna. Sua extensão de ocorrência foi estimada em 2.240 km2. A espécie é associada à floresta semidecídua, ambiente que sofre impactos negativos em decorrência da expansão agrícola e urbana, do corte seletivo de madeira e de incêndios, atividades que provocam declínio contínuo da qualidade do hábitat da espécie. Contudo, não há indícios de que a população da espécie esteja severamente fragmentada. Assim,Phasmahyla timbo aproxima-se de Em Perigo (EN) pelo critério B1b(iii) e, por isso, foi avaliada como Quase Ameaçada (NT)","Sim","Não","Bahia","|Nordeste|","Mata Atlântica","Sub-bacia Itapecuru-Paraguaçu","","ESTAÇÃO ECOLÓGICA ESTADUAL WENCESLAU GUIMARÃES","","Não","Desconhecida","2 - Agropecuária e Aquacultura|2.1 - Culturas anuais e perenes não-madeireiras|2.1.4 - Agricultura de escala desconhecida 5 - Uso de recursos biológicos|5.3 - Extração florestal|5.3.2 - Uso intencional - larga escala 7 - Modificações nos sistemas naturais|7.1 - Incêndios e supressão de incêndios|7.1.1 - Aumento da frequência/intensidade de incêndios","","Plano de Ação Nacional (PAN), Proteção de locais/áreas, Proteção de recursos/habitat","Plano de Ação Nacional para a Conservação da Herpetofauna Ameaçada da Mata Atlântica Nordestina, Plano de Ação Nacional para a Conservação da Herpetofauna do Nordeste - 2º ciclo","","",""
"Animalia","Chordata","Amphibia","Gymnophiona","Siphonopidae","Siphonops","Siphonops leucoderus","Siphonops leucoderus","Taylor, 1968","Cecília","Anfíbios","09/2018","Dados Insuficientes","","","Siphonops leucoderus é endêmica do Brasil, conhecida somente para a localidade-tipo denominada simplesmente “Bahia, Brasil”, que presumivelmente refere-se ao município de Salvador, estado da Bahia. Além da distribuição desconhecida, há incerteza sobre sua validade taxonômica. Portanto, Siphonops leucoderus foi avaliada como Dados Insuficientes (DD).","Sim","Não","Bahia","|Nordeste|","Mata Atlântica","","","ÁREA DE PROTEÇÃO AMBIENTAL BAÍA DE TODOS OS SANTOS","","","Desconhecida","12 - Outras ameaças 1 - Desenvolvimento residencial e comercial|1.1 - Expansão urbana 1 - Desenvolvimento residencial e comercial|1.2 - Áreas comerciais e industriais 2 - Agropecuária e Aquacultura|2.1 - Culturas anuais e perenes não-madeireiras|2.1.4 - Agricultura de escala desconhecida 4 - Transportes e serviços de transmissão|4.1 - Estradas e ferrovias","","","","","",""
"Animalia","Chordata","Amphibia","Anura","Hylidae","Scinax","Scinax montivagus","","Juncá, Napoli, Nunes, Mercȇs & Abreu, 2015","","Anfíbios","09/2018","Menos Preocupante","","","Scinax montivagus é endêmica do Brasil, conhecida apenas para a região da Chapada da Diamantina, porção norte da Cadeia do Espinhaço, no estado da Bahia. Trata-se de uma espécie abundante, que habita principalmente campos rupestres, e possui registros em unidades de conservação. Não são conhecidas ameaças evidentes que possam colocá-la em risco de extinção em curto prazo. Por essas razões, Scinax montivagus foi categorizada como Menos Preocupante (LC).","Sim","Não","Bahia","|Nordeste|","Caatinga","Sub-bacia Contas Sub-bacia Itapecuru-Paraguaçu","","ÁREA DE PROTEÇÃO AMBIENTAL MARIMBUS / IRAQUARA, PARQUE ESTADUAL DAS SETE PASSAGENS","","","Desconhecida","","","","","","",""
"Animalia","Chordata","Amphibia","Anura","Cycloramphidae","Thoropa","Thoropa miliaris","Thoropa miliaris","(Spix, 1824)","","Anfíbios","09/2018","Menos Preocupante","","","Thoropa miliaris é endêmica do Brasil e possui ampla distribuição na Mata Atlântica, entre os estados da Bahia e São Paulo, desde o nível do mar até altitudes próximas a 2.000 metros. Trata-se de uma espécie saxícola, comum nos locais onde ocorre e presente em várias unidades de conservação, Não foram identificadas ameaças que possam colocá-la em risco de extinção em curto prazo. Por esses motivos, Thoropa miliaris foi avaliada como Menos Preocupante (LC).","Sim","Não","Bahia, Espírito Santo, Minas Gerais, Rio de Janeiro, São Paulo","|Nordeste|Sudeste|","Cerrado, Mata Atlântica","Sub-bacia Contas Sub-bacia Doce Sub-bacia Grande Sub-bacia Itapecuru-Paraguaçu Sub-bacia Jequitinhonha Sub-bacia Litoral BA ES Sub-bacia Litoral ES Sub-bacia Litoral RJ Sub-bacia Litoral SP Sub-bacia Paraíba do Sul Sub-bacia Tietê","APA Cairuçu, APA Petrópolis, PARNA da Serra da Bocaina, PARNA da Serra dos Órgãos, PARNA da Tijuca, PARNA de Itatiaia, PARNA do Caparaó, REBIO Augusto Ruschi, REBIO do Córrego do Veado, REBIO do Tinguá","APA DA PEDRA BRANCA, APA DA PRAINHA, APA DE GRUMARI, APA DOS MORROS DA BABILôNIA E DE SãO JOãO, APA SAPUCAí MIRIM, ÁREA DE PROTEÇÃO AMBIENTAL ÁGUAS VERTENTES, ÁREA DE PROTEÇÃO AMBIENTAL DE GERICINÓ/MENDANHA, ÁREA DE PROTEÇÃO AMBIENTAL DE MANGARATIBA, ÁREA DE PROTEÇÃO AMBIENTAL DE TAMOIOS, ÁREA DE PROTEÇÃO AMBIENTAL DO ALTO DO MUCURI, ÁREA DE PROTEÇÃO AMBIENTAL DO PICO DO GOIAPABA-AÇU, ÁREA DE PROTEÇÃO AMBIENTAL ESTADUAL MESTRE ÁLVARO, ÁREA DE PROTEçãO AMBIENTAL PAISAGEM CARIOCA, ÁREA DE PROTEÇÃO AMBIENTAL SUL-RMBH, MONUMENTO NATURAL DO ITABIRA, MONUMENTO NATURAL ESTADUAL SERRA DAS TORRES, PARQUE ESTADUAL CUNHAMBEBE, PARQUE ESTADUAL DA FONTE GRANDE, PARQUE ESTADUAL DA ILHA GRANDE, PARQUE ESTADUAL DA SERRA DO MAR, PARQUE ESTADUAL DO DESENGANO, PARQUE ESTADUAL DO FORNO GRANDE, PARQUE ESTADUAL DO ITINGUÇU, PARQUE ESTADUAL DO MENDANHA, PARQUE ESTADUAL DO RIO DOCE, PARQUE ESTADUAL SERRA DO BRIGADEIRO, PARQUE NATURAL MUNICIPAL DA PRAINHA, PARQUE NATURAL MUNICIPAL DA SERRA DO MENDANHA, PARQUE NATURAL MUNICIPAL PAISAGEM CARIOCA, PARQUE NATURAL MUNICIPAL VALE DO MULEMBá, REFÚGIO ESTADUAL DE VIDA SILVESTRE MATA DOS MURIQUIS, RESERVA BIOLÓGICA ESTADUAL DA PRAIA DO SUL","RPPN Estação Biológica da Mata do Sossego, RPPN Fazenda Barra do Sana, RPPN Fazenda Suspiro, RPPN Feliciano Miguel Abdala, RPPN Santuário Caraça, VALE DO SOL","","Estável","","","","","","",""
"Animalia","Chordata","Amphibia","Anura","Hylidae","Dendropsophus","Dendropsophus reticulatus","","(Jiménez de la Espada, 1870)","Ranita reticulada, Reticulate Treefrog","Anfíbios","05/2018","Menos Preocupante","","","Dendropsophus reticulatus ocorre na região amazônica da América do Sul e é conhecida para o Brasil, Bolívia, Colômbia, Equador e Peru. No Brasil, são conhecidos dois registros de ocorrência no estado do Amazonas, um no município de Tabatinga e outro no município de Ipixuna. É possível que sua distribuição seja mais ampla, pois existem ambientes favoráveis à espécie ainda não amostrados. A espécie é semiarborícola e generalista quanto ao uso do hábitat, podendo ser encontrada em remanescentes de florestas de terra firme, florestas de várzea, pântanos, floresta secundária e ambientes higrófilos artificiais de áreas abertas, o que indica tolerância à perturbação a alterações do ambiente. Não há ameaças evidentes que possam colocar a espécie em risco de extinção. Por essas razões, Dendropsophus reticulatus foi avaliada como Menos Preocupante (LC).","Não","Não","Amazonas","|Norte|","Amazônia","Sub-bacia Solimões","","","","Não","Desconhecida","","","","","","",""
